order_id,customer_id,channel,region,product_category,units,unit_price,discount_rate,shipping_days,customer_age,income_monthly,return_flag,satisfaction,gross_revenue,net_revenue
1,13174,store,Norte,Moda,4,24.946705248696016,0.15285187598696645,4.0,32,31870.407627923727,0,4,99.78682099478407,84.53421820695571
2,13507,app,Norte,Alimentos,4,13.770487733742405,0.2754654845000869,3.0,39,35597.64856585485,0,4,55.08195093496962,39.9087746334582
3,10860,web,Sur,Alimentos,3,26.760852537410628,0.20873186933022225,3.0,33,25333.71480359305,0,4,80.28255761223188,63.52502928721946
4,11294,web,Sur,Hogar,2,16.13749995711981,0.16485475143255332,5.0,27,13242.212884399647,0,4,32.27499991423962,26.954312825891968
5,11130,app,Norte,Moda,3,82.15568514895729,0.24535328037941273,2.0,27,25169.01077156323,0,5,246.46705544687188,185.99555488752725
6,11095,web,Centro,Salud,2,47.516719994389796,0.10906766498423498,2.0,29,14970.576377254853,0,4,95.03343998877959,84.66836459378398
7,13772,app,Centro,Moda,3,25.45705660231049,0.16044954930661043,5.0,32,58212.226316156644,1,3,76.37116980693148,64.1174500313907
8,13092,web,Norte,Salud,6,19.347018231434852,0.10346241736871814,2.0,33,24805.095383798707,0,4,116.08210938860911,104.07197373800363
9,11638,web,Sur,Moda,1,32.36985814902254,0.08615917726862654,1.0,53,14377.943062784832,0,5,32.36985814902254,29.580897802600614
10,12169,app,Norte,Electrónica,2,37.4164989222721,0.20540044003067304,3.0,46,15092.3025870952,0,4,74.8329978445442,59.46226715846041
11,10466,web,Norte,Hogar,4,28.21892703838803,0.11154142588625354,3.0,39,27006.124642255792,0,4,112.87570815355213,100.28539071818432
12,11238,app,Centro,Salud,4,14.036609137342472,0.22387470099441176,6.0,56,27777.597449034223,0,3,56.14643654936989,43.57666985497799
13,10330,app,Centro,Hogar,2,21.861491904970055,0.2056905273019651,4.0,35,362800.9792213922,0,5,43.72298380994011,34.729580214858245
14,11482,store,Norte,Salud,3,25.608061159224413,0.10145908977279608,4.0,41,46471.13465163811,0,5,76.82418347767324,69.02967174949023
15,12135,web,Centro,Salud,4,28.77915267583878,0.1463449696120426,4.0,40,15852.635553857113,0,3,115.11661070335512,98.26987380813128
16,13444,web,Centro,Hogar,2,29.14693417389652,0.061832495491257446,3.0,41,46722.40605080138,0,5,58.29386834779304,54.68941299601017
17,13171,web,Norte,Electrónica,3,36.66995406256541,0.04712701393969963,3.0,28,25548.28533899963,0,4,110.00986218769623,104.82542587887224
18,12919,app,Norte,Alimentos,3,51.31310403292927,0.028430867121401915,3.0,33,43234.969017614036,0,4,153.9393120987878,149.56268397174713
19,13735,store,Centro,Hogar,4,42.81592182563602,0.24135079881696,3.0,27,19071.178696687813,0,5,171.26368730254407,129.929059563737
20,10130,web,Norte,Alimentos,4,33.942771495149756,0.3578447031320784,2.0,40,41273.03881616233,0,5,135.77108598059903,87.18612202395168
21,11685,marketplace,Sur,Moda,1,12.28357255260521,0.04238957673382989,4.0,36,17260.140619636095,0,4,12.28357255260521,11.762877111320986
22,13380,web,Sur,Moda,5,47.11016426878332,0.04953668797738747,4.0,18,66572.05621978102,0,3,235.5508213439166,223.88241380418563
23,10769,app,Sur,Alimentos,3,38.48788412287818,0.38741630395757,4.0,42,,0,5,115.46365236863454,70.73115092653643
24,12391,store,Norte,Hogar,3,21.31294845810324,0.4773982574294826,2.0,38,21227.531122962853,0,3,63.93884537430972,33.414552010561124
25,11515,store,Sur,Moda,2,24.93709532690505,0.22529207030011836,4.0,55,14107.407985093976,0,5,49.8741906538101,38.637930986870415
26,13485,store,Norte,Hogar,6,25.43355930012646,0.16991835283873613,1.0,46,29517.166763888425,0,4,152.60135580075877,126.67158478213592
27,12853,store,Norte,Hogar,1,19.28249561780757,0.17028873842138914,2.0,48,24791.422217802567,1,4,19.28249561780757,15.998903765435154
28,12433,web,Norte,Moda,4,9.380011645812488,0.12020080507085021,2.0,24,12895.33740977236,0,4,37.52004658324995,33.01010677764751
29,11215,store,Norte,Alimentos,3,13.275251949025424,0.02825173963927242,5.0,48,17944.0519207253,0,4,39.82575584707627,38.700608961947445
30,10955,web,Centro,Hogar,2,14.90089074899362,0.4080026980147351,4.0,34,9183.802652724848,0,3,29.80178149798724,17.642574241162833
31,12324,store,Centro,Moda,2,8.3119432999033,0.33458994965218813,2.0,28,14453.21577517924,0,5,16.6238865998066,11.061701219353624
32,11184,app,Norte,Alimentos,1,13.299195599581559,0.167260273695526,5.0,18,25144.05094535232,0,4,13.299195599581559,11.074768503665213
33,10459,store,Centro,Hogar,3,45.95486311816057,0.1365232682427982,4.0,50,32678.771386287583,0,4,137.8645893544817,119.04286504085658
34,13385,app,Norte,Hogar,3,32.04865083031149,0.26634256528580663,1.0,33,22514.597787159004,0,4,96.14595249093446,70.53819286265168
35,10021,app,Centro,Salud,5,14.381725298528744,0.24114024366429213,4.0,35,34869.27576878348,0,4,71.90862649264372,54.56856277864304
36,12300,app,Norte,Alimentos,2,16.801649114929354,0.2378938971271534,4.0,40,15879.012561933328,0,5,33.60329822985871,25.609278657631645
37,10747,store,Sur,Moda,4,48.23336465115573,0.04594104402930711,3.0,56,34340.07000526515,0,3,192.93345860462293,184.06989408814144
38,12904,web,Sur,Moda,1,47.58211543787168,0.045056693958509655,3.0,34,25784.602207780597,0,4,47.58211543787168,45.43822262468902
39,13632,web,Centro,Electrónica,2,25.493879346551154,0.1669233681978011,6.0,36,24021.276944084406,0,5,50.98775869310231,42.47671027519296
40,10474,web,Norte,Moda,2,46.81196025884671,0.22680083296004136,3.0,47,26850.543659835577,0,4,93.62392051769342,72.38993735929584
41,11082,web,Norte,Moda,7,16.098929739601807,0.18419431471853412,2.0,33,19349.253413491275,0,4,112.69250817721266,91.93518885959817
42,12558,store,Sur,Moda,7,27.800331805262324,0.2230848948274113,4.0,27,11569.078914648557,0,4,194.60232263683628,151.1894839582277
43,13753,web,Norte,Hogar,2,10.90375286137474,0.12555095713903355,3.0,18,15140.899786965123,0,4,21.80750572274948,19.06955250644333
44,12047,marketplace,Norte,Electrónica,4,20.077984382609564,0.2737428306848205,3.0,51,12375.710868018763,0,5,80.31193753043826,58.327120413073615
45,13547,web,Norte,Hogar,3,24.91430394039879,0.1292349793523973,4.0,39,23734.352866166253,0,4,74.74291182119637,65.08351315524601
46,12747,web,Centro,Salud,3,9.710595475435484,0.2969256905851394,4.0,42,39163.07809135288,0,4,29.131786426306455,20.48181062369662
47,10975,store,Centro,Moda,3,33.99501398016637,0.3237602237069779,,31,60839.87788082459,0,4,101.98504194049912,68.9663419470776
48,11806,app,Sur,Moda,3,37.2670999273955,-0.1,5.0,43,20875.944700282234,0,4,111.8012997821865,122.98142976040516
49,10189,app,Norte,Electrónica,2,42.781915972588685,0.31575279472120793,3.0,30,24626.336970993118,0,4,85.56383194517737,58.54681288143184
50,13005,app,Norte,Electrónica,4,88.57377260440836,0.3574581186845358,4.0,38,75768.04108830962,0,5,354.29509041763345,227.6494339377787
51,12734,store,Sur,Alimentos,3,30.851732021328964,0.15882404094311345,6.0,37,21557.96460097294,0,5,92.5551960639869,77.85520581482236
52,13005,web,Sur,Moda,5,23.682927215302836,0.05894624252513666,3.0,48,19059.354435689616,0,5,118.41463607651418,111.43453821982217
