Customer_ID,Age,Gender,Income,City_Type,Online_Purchases,Store_Purchases,Avg_Ticket,Total_Spending,Membership_Years,Returns_Rate,Satisfaction_Score
1,43.960569836134795,Male,6686.505070336595,Suburban,4,12,154.83482052932789,5201.895346573021,5.342242956534126,13.155567875778088,4.0
2,36.340828385945784,Female,31970.709425001096,Urban,5,12,938.1787112999398,13415.760581818355,0.2868100986738612,3.528137000758709,5.0
3,45.77226245720831,Female,23554.760137447614,Urban,6,6,414.3211527666081,8823.85703092767,2.8881617316031756,42.41873902092535,6.0
4,56.2763582768963,Male,27287.145932581254,Suburban,6,5,1042.6409872944987,13190.357191436162,4.654159786256202,15.008285743636737,6.0
5,35.19015950331997,Male,15433.085654272254,Urban,9,5,1214.3104833074044,17011.33890956796,0.6008166523097301,9.621857235629875,7.0
6,102.0,Male,18174.441274732606,Suburban,6,11,821.6284863745447,14726.183452310197,0.13830279912248727,11.686976538323835,4.0
7,56.9505537860887,Female,17934.60797714521,Suburban,7,13,591.4703699282379,11536.750174553441,0.7338725299483455,31.662221164729804,5.0
8,47.20921674983491,Female,36710.25754158385,Urban,4,6,1942.3242133549838,18533.085772101622,1.1343733423967712,24.549452557441526,5.0
9,32.366307368780575,Female,18226.28536019791,Urban,9,5,387.51735888947417,6934.073397542068,6.04926285204674,45.295882633286965,8.0
10,44.51072052303158,Female,62400.59946079596,Urban,7,10,414.5216640608234,8043.368878662648,1.1247318977145662,18.55371364580317,7.0
11,32.43898768625046,Male,27321.554438098807,Urban,5,7,671.4094870189826,6987.785627193948,0.19314702622912672,9.324288722075242,9.0
12,32.411242957156915,Female,11639.48725435609,Urban,10,5,606.3260792910523,14118.393859672762,0.31773046297124485,,4.0
13,40.90354725879241,Male,20655.292343502733,Urban,3,9,490.84795551033386,5074.724179278306,0.8699921991970172,10.645232362760206,
14,15.040637064106427,Male,15901.400067981749,Urban,4,8,1927.6230012724538,22806.475031084537,0.40714225818245575,15.657196592779446,5.0
15,17.300986009843605,Male,7352.596279131534,Urban,4,11,293.04492260037364,435.6177650695163,0.12495805597764244,19.436386242371682,5.0
16,31.252549649108328,Male,49007.835381636934,Urban,6,6,1842.8598885206227,21998.91651551784,0.3853738516095816,49.91741668039098,9.0
17,25.846026555986914,Female,31306.19471333889,Suburban,6,12,795.8026930305117,18602.740753239188,0.22296015480080578,6.628068852212832,8.0
18,41.77096799114329,Male,28756.055753506564,Urban,4,8,396.8483781830562,5873.9476379718935,0.4530442392583249,10.716559269787062,
19,15.0,Female,23925.541041969092,Suburban,10,8,1142.2467712303085,22252.61429229197,11.284046493860213,11.436311452014076,5.0
20,21.052355583976503,Female,11036.808751206463,Urban,7,5,1502.6820852129063,17956.40285469347,1.1790471541698455,19.356722483227077,5.0
21,55.587785227058646,Female,17295.323572605077,Urban,12,11,1850.107017879558,43187.040456647985,2.149397811852293,37.11204423032072,8.0
22,35.29068439416157,Male,33553.29628140651,Urban,3,8,1141.5659351839686,15478.359159895095,0.3613224670049329,20.410027704306344,6.0
23,38.81033845625509,Female,13021.928005623118,Urban,4,4,382.9571974927678,5502.497865376514,3.784818238327149,9.733620817326404,
24,20.903021765438517,Male,6211.23694991698,Rural,4,7,353.08043514498576,3169.158463411782,0.6209630450567231,40.16417133761858,7.0
25,31.467407305697808,Female,19662.076252975476,Urban,3,7,572.819849108808,5808.744622839537,8.090024650966189,120.0,5.0
26,39.33107107651839,Female,20519.300766269007,Urban,4,5,321.75733467569387,4326.747232175055,3.624428450397639,26.963725937051098,
27,24.188077070932366,Female,23571.218889888587,Urban,7,6,1737.4119734993985,21306.656790583667,6.026629694647286,12.566208892371966,8.0
28,42.508376220148065,Male,31705.939928413856,Urban,7,9,412.7864393655032,6801.896598120624,2.207060893688795,13.885285716326381,9.0
29,30.79233572097434,Female,30296.96756468349,Urban,8,8,961.6590630656717,14584.255297736781,2.1464259332306064,12.08241350618497,9.0
30,34.49967500248068,Male,25068.939848959697,Urban,4,6,410.6424663682059,4103.831716144123,3.678924305209118,21.115166475752815,6.0
31,30.77952065324724,Male,40045.26402899116,Urban,6,8,966.4680580343044,14404.523959233455,2.5130759831900265,6.745264455928926,4.0
32,60.22733821410725,Male,10306.34608855843,Urban,3,9,3337.5536865014,39874.298275451554,1.8637670494030203,8.399341725043037,4.0
33,37.83803330314479,Male,28347.40887406604,Suburban,6,5,277.79432186683124,4634.109111000811,0.8871716033942048,19.52826485249066,4.0
34,25.307468852529198,Male,30129.77551860069,Urban,5,9,1763.5892802989772,26458.149796056263,0.5042871920100136,24.504228448004444,8.0
35,47.870538945238266,Female,11851.608277327252,Urban,2,15,735.9468116796211,13506.81810768638,3.0487646195934173,25.406868307609432,8.0
36,23.349876200347733,Female,10389.64271030923,Urban,4,6,1135.4783799334612,12165.934227994989,0.9756831991426159,5.92336317312046,5.0
37,40.50636314005706,Male,15169.300139390021,Urban,4,7,877.4506177644505,11084.050718327595,0.12631605363209183,30.691400239646327,6.0
38,14.483958513442694,Male,15823.149085378127,Suburban,9,7,367.4494756790677,8017.543061257755,1.3063999126092443,54.32553994707199,6.0
39,22.061767413218835,Male,32103.15952200448,Urban,11,11,352.1610206301479,4476.310864501791,2.1430353699363582,38.15154506137367,5.0
40,40.36233483042948,Male,16199.41821877726,Urban,5,7,264.2986345337178,1625.5620925060093,0.04661599963033878,14.55804626632908,6.0
41,46.86159895994493,Male,14354.600194474922,Urban,6,9,2440.7871208507695,35503.70471012,2.442380868142287,39.41253949572018,6.0
42,40.05641937427965,Female,16222.965351640169,Urban,7,6,337.30497887163773,2229.796548583079,0.5089666476638772,4.504959512942251,5.0
43,36.612220611341115,nan,38534.767590914125,Urban,4,12,1042.0617873128276,15837.655840758582,0.5029760816704862,35.19209164033526,9.0
44,34.386755652928535,Male,22170.584953813745,Urban,12,14,924.3158816354118,24487.644223677824,1.65510194531859,27.244326458322316,8.0
45,20.257736115590873,Male,20138.214085114374,Urban,6,9,5069.582726270754,75640.3959051032,0.8228482833880901,11.3910814675726,4.0
46,29.3618694992635,Female,20847.665419071298,Urban,6,6,4986.241718026453,59320.15891105292,1.1977978107394573,11.657684645882185,9.0
47,32.47233474848255,Female,42025.42903064278,Suburban,4,7,1087.3637245756138,13729.021191947111,1.4391570592572778,18.410168686387816,9.0
48,50.68546671462699,Female,15144.82451949163,Urban,8,6,18966.145952647552,266400.72774763627,5.077201556759913,10.918112420855849,5.0
49,42.12341947482154,Female,42521.03380192981,Suburban,3,7,391.7227156601603,3112.837927008435,0.458576201191253,12.186997188890565,5.0
50,16.843518135647194,Male,24471.10100406671,Urban,6,9,770.816627103935,10479.458140983852,1.248388561497988,15.42244024943533,4.0
51,41.88900763273754,Male,20328.72743041767,Suburban,5,6,1220.8939310761598,12039.23531363838,3.083437700859269,6.2181282201198975,4.0
52,33.3790126350042,Female,76914.54266302289,Urban,7,6,3373.054389315777,48121.757612875874,0.4592470284082446,10.630181217319523,7.0
53,29.876935996328495,Male,12993.184829571635,Urban,5,5,593.9512614490837,3866.0758720927092,0.17194751380152784,6.463667235380973,
54,45.34011546609042,Female,18456.227386018545,Urban,6,5,522.4843847556702,6557.285465425168,0.03584837698261444,29.491029411985544,7.0
55,50.371994269951415,Male,11893.94088876836,Urban,4,6,100.25575020662306,-3085.032514058843,0.2190338356913865,16.386480371737548,8.0
56,49.175361429394385,Male,35462.49667187922,Urban,6,12,1160.6546546089721,19856.743578975223,0.6420380188037234,21.37325910646071,5.0
57,27.929389721328338,Female,51256.3333448378,Urban,7,4,1792.0346169538936,16186.227471542252,1.0527465463437644,13.760962224531244,7.0
58,34.28945148978543,Female,50764.947761166484,Urban,4,9,351.958816041002,3479.6943372608894,1.8016908050948552,18.260530946827842,8.0
59,41.97516117684277,Female,,Urban,8,6,2850.9342653270155,40740.77983496225,0.44651339192173256,0.6888171738269033,4.0
60,49.70654152546831,Male,19954.0970291263,Urban,5,5,247.5180544152533,704.7075152457464,0.6285880371756978,14.496349558017105,7.0
61,32.24990914585652,Female,18349.901970384653,Urban,3,11,746.4218626852572,8050.83748906817,2.401824582286209,13.993824984494044,5.0
62,35.772092280034194,Male,9551.13346391531,Urban,13,6,660.4028252714579,14268.649525124023,4.7939661319575855,17.535498343336577,9.0
63,24.72398031192766,Male,60957.77970839809,Urban,5,1,215.3929162347367,2305.3848770320437,0.2912420665533637,7.877556660551487,6.0
64,23.64552051103195,Male,27847.237242112413,Urban,3,9,1104.608080413615,13424.605947852728,1.2792701612289927,9.341726344102275,8.0
65,47.750309868730376,Male,17223.354258871703,Urban,8,8,1079.099155871711,13403.659335980941,0.700300808544649,,9.0
66,54.274880342849876,Male,42788.66219509866,Urban,2,9,189.7302071708643,2857.913049251228,1.5014265546967267,3.546966935701175,
67,37.13587854103599,Male,13542.900513008373,Suburban,1,9,1229.5294231024318,14086.959676053471,0.2536930229927962,11.784187069978746,4.0
68,50.04239477470429,Male,26992.41061421546,Urban,4,10,1044.978815654365,13594.226330094103,0.6322702993189374,45.053774678666834,4.0
69,42.33963230057161,Male,20205.00111818533,Urban,11,7,2073.5398605834307,33871.76714197243,2.4679141914360305,29.919530223215425,4.0
70,30.258562944738507,Male,30313.20090161887,Urban,3,7,1238.7859612510897,12219.740963827588,3.4219443908017593,10.575602444756681,9.0
71,42.336747266100964,Male,21337.326383960604,Urban,10,9,3573.135208578727,69790.11370260491,1.9438470935560377,4.545127249448327,7.0
72,56.45643879759163,Male,10663.010347659681,Suburban,4,7,481.8262721517856,5982.072342184773,5.781266636746395,20.04288087582429,4.0
73,37.57008753068058,Female,22874.732276942617,Suburban,7,10,423.98987711128626,6367.479515576119,2.1162876856082384,13.127267049452174,6.0
74,56.77572386976807,Male,37213.69326077915,Urban,6,11,96.69209207627593,2105.8607074902534,2.7455174867965693,20.436522932628634,8.0
75,6.563058750923069,Male,21707.037529639067,Urban,4,8,418.53127205392695,7149.235455893793,0.8845503414022406,35.55890172320994,9.0
76,47.86283005250269,Male,32453.304832868867,Urban,9,9,780.6923017383778,12975.52964888512,0.3723417712217138,22.9751612476347,8.0
